id;name;description;id_parent;status
1;Table;open-source;18566;ivory Refined metrics
2;Checking Chief;XML Chips Kentucky;69811;Electronics
3;Soap Salad killer;Games;24149;Program mesh
4;Designer array;Verde;55728;North Fresh
5;pink Account;archive;92416;Versatile bypass California
6;JSON Communications;connecting systems;25972;open-source Avon
7;Borders invoice Sleek;Central;72784;driver leading-edge TCP
8;synergistic blue Chief;Nebraska;91308;Optimization
9;uniform Sleek;Franc;88489;Armenian
10;Cambridgeshire;circuit;4152;Chicken
